route,timesteps,collision_truck,collision_trailer,timeout,completed
route,timesteps,collision_truck,collision_trailer,timeout,completed
40|10,362,False,False,False,True
117|41,180,False,True,False,False
61|95,311,False,False,False,True
34|41,158,False,True,False,False
61|95,307,False,False,False,True
34|41,156,True,False,False,False
117|120,168,True,False,False,False
117|41,177,False,True,False,False
31|84,146,True,False,False,False
31|120,149,True,False,False,False
11|10,116,False,True,False,False
34|84,169,False,True,False,False
5|41,152,True,False,False,False
34|84,166,False,True,False,False
61|95,312,False,False,False,True
34|41,148,False,True,False,False
11|10,116,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,97,False,True,False,False
34|41,150,False,True,False,False
40|10,350,False,False,False,True
34|84,163,False,True,False,False
5|41,143,True,False,False,False
5|84,134,True,False,False,False
61|4,272,False,False,False,True
34|41,151,False,True,False,False
11|10,96,False,True,False,False
34|41,150,False,True,False,False
31|84,139,True,False,False,False
117|41,172,False,True,False,False
40|10,348,False,False,False,True
34|41,148,False,True,False,False
40|4,132,False,True,False,False
5|120,149,True,False,False,False
31|84,134,True,False,False,False
5|84,136,True,False,False,False
97|95,358,False,False,False,True
117|41,170,False,True,False,False
5|41,152,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,143,True,False,False,False
31|120,143,True,False,False,False
97|95,363,False,False,False,True
34|41,152,False,True,False,False
40|10,356,False,False,False,True
5|120,151,True,False,False,False
31|84,139,True,False,False,False
5|120,154,True,False,False,False
61|95,300,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,149,True,False,False,False
34|41,149,False,True,False,False
5|41,143,True,False,False,False
31|120,141,True,False,False,False
40|4,137,False,True,False,False
117|41,166,False,True,False,False
40|10,353,False,False,False,True
117|41,169,False,True,False,False
117|120,161,False,True,False,False
117|41,170,False,True,False,False
31|84,136,True,False,False,False
5|120,149,True,False,False,False
117|120,164,False,True,False,False
34|84,160,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,78,False,True,False,False
117|41,163,False,True,False,False
97|95,353,False,False,False,True
5|84,133,True,False,False,False
31|84,134,True,False,False,False
117|41,167,False,True,False,False
40|10,333,False,False,False,True
5|120,140,True,False,False,False
31|84,131,True,False,False,False
117|41,164,False,True,False,False
61|95,291,False,False,False,True
5|120,140,True,False,False,False
97|95,356,False,False,False,True
117|41,164,False,True,False,False
97|95,354,False,False,False,True
31|120,131,True,False,False,False
31|84,129,True,False,False,False
5|84,126,True,False,False,False
31|84,139,True,False,False,False
5|84,127,True,False,False,False
5|41,141,True,False,False,False
5|120,141,True,False,False,False
97|95,355,False,False,False,True
117|41,165,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,139,True,False,False,False
34|41,144,False,True,False,False
97|95,356,False,False,False,True
34|41,147,False,True,False,False
61|95,298,False,False,False,True
5|84,130,True,False,False,False
5|41,127,True,False,False,False
34|41,147,False,True,False,False
97|95,354,False,False,False,True
31|120,142,True,False,False,False
40|10,348,False,False,False,True
