route,timesteps,collision_truck,collision_trailer,timeout,completed
31|120,132,False,False,False,False
34|41,122,False,False,False,False
5|120,129,False,False,False,False
31|120,132,False,False,False,False
34|41,122,False,False,False,False
34|41,121,False,False,False,False
5|43,128,False,False,False,False
117|41,130,False,False,False,False
117|41,131,False,False,False,False
5|43,128,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|41,130,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
34|41,122,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
34|43,121,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|43,128,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|120,126,False,False,False,False
