PPO 169760e0 TRAINING,,,,,,,,,,,,,,,DQN a3962295b7 TRAINING ,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
38,5|120,16m,502.8,0,0,0,1,0,0.946451950073242,0.44601469039917,,4,,,37,5|120,16m,165.2,0,0,0,0,5,1.40621070861816,1.5571346282959,,0
2,40|42,16m,198.4,0,0,0,0,0,0.529066514968872,0.208633422851562,,5,,,1,40|42,16m,206.6,0,0,0,0,0,1.56529293060303,0.864687824249268,,5
3,40|10,16m,372.2,0,0,0,0,0,0.427607250213623,0.351171326637268,,5,,,2,40|10,16m,357.6,0,0,0,0,0,0.992552185058594,0.882998657226562,,5
18,4|64,32m,715,0,0,0,0,0,0.652715253829956,0.377344679832458,,5,,,19,4|64,32m,689.4,0,0,0,0,0,0.738940095901489,0.499480438232422,,5
24,35|9,32m,1319.2,0,0,0,0,0,0.398700952529907,0.278398442268372,,5,,,25,35|9,32m,1288.2,0,0,0,0,0,0.789976692199707,0.677941131591797,,5
28,35|48,32m,1438.8,0,0,0,2,0,0.378885626792908,0.281444120407104,,3,,,31,35|48,32m,1129.6,0,0,0,0,5,0.940777778625488,0.723374366760254,,0
36,34|43,16m,265.4,0,0,0,0,5,0.866535377502441,0.362120294570923,,0,,,34,34|43,16m,193.2,0,0,0,0,5,0.895667171478272,0.814735221862793,,0
34,34|41,16m,238.6,0,0,0,0,5,0.727759695053101,0.363688611984253,,0,,,32,34|41,16m,403.6,0,0,0,0,0,1.10031814575195,0.818064498901367,,5
5,34|112,16m,315,0,0,0,0,0,0.806097888946533,0.673075294494629,,5,,,3,34|112,16m,301.2,0,0,0,0,0,1.19430465698242,1.02137136459351,,5
49,31|43,16m,310.4,0,0,0,0,0,0.471360635757446,0.463495969772339,,5,,,49,31|43,16m,301.6,0,0,0,0,0,1.04983940124512,0.97540922164917,,5
27,31|120,16m,378.8,0,0,0,4,0,0.758347797393799,0.35326874256134,,1,,,27,31|120,16m,193,0,0,0,0,5,0.839793014526367,1.1367657661438,,0
29,31|112,16m,510.4,0,0,0,0,1,1.05309991836548,0.466942167282105,,4,,,28,31|112,16m,191.4,0,0,0,0,5,0.851262855529785,1.08784503936768,,0
35,29|55,32m,501.4,0,0,0,0,0,0.534536504745483,0.312781929969788,,5,,,38,29|55,32m,479.6,0,0,0,0,0,1.41824111938477,1.15334692001343,,5
32,29|36,32m,308.2,0,0,0,0,0,0.645457553863525,0.177433049678803,,5,,,36,29|36,32m,304.2,0,0,0,0,0,1.61155586242676,1.10744819641113,,5
19,22|76,50m,1014.4,0,0,0,0,0,0.763350963592529,0.450168752670288,,5,,,18,22|76,50m,991.2,0,0,0,0,0,1.12823400497437,0.823335456848145,,5
17,22|26,50m,724.4,0,0,0,0,0,0.680103397369385,0.441766977310181,,5,,,16,22|26,50m,694.6,0,0,0,0,0,0.808952808380127,0.655314064025879,,5
15,22|105,50m,440,0,0,0,1,0,0.479644060134888,0.486669969558716,,4,,,14,22|105,50m,516.2,0,0,0,0,0,1.11038665771484,1.12785053253174,,5
30,21|9,32m,506.4,0,0,0,0,0,0.548849105834961,0.488371181488037,,5,,,33,21|9,32m,481.2,0,0,0,0,0,0.727810096740723,0.697352313995361,,5
16,21|64,32m,740.6,0,0,0,1,0,0.669106101989746,0.36623785495758,,4,,,17,21|64,32m,882.2,0,0,0,0,0,0.962524700164795,0.640768623352051,,5
14,21|48,32m,960,0,0,0,1,0,0.603171014785767,0.375900077819824,,4,,,15,21|48,32m,1035.6,0,0,0,0,0,0.677752017974854,0.559597778320312,,5
22,16|111,50m,386.4,0,0,0,2,0,0.409217691421509,0.406527137756348,,3,,,21,16|111,50m,444.2,0,0,0,0,0,1.39213008880615,1.35353784561157,,5
21,16|103,50m,130.8,0,0,0,0,5,0.612103509902954,0.261804986000061,,0,,,20,16|103,50m,245.6,0,0,0,0,0,2.10021076202393,1.30466051101685,,5
41,15|94,50m,752.4,0,0,0,0,0,0.481245517730713,0.562608146667481,,5,,,41,15|94,50m,737.2,0,0,0,0,0,1.18603534698486,1.27584953308105,,5
43,15|26,50m,996.6,0,0,0,0,0,0.809517192840576,0.526591968536377,,5,,,43,15|26,50m,958.8,0,0,0,0,0,1.13088932037354,0.874342727661133,,5
42,15|105,50m,813.2,0,0,0,0,0,0.687314987182617,0.578276062011719,,5,,,42,15|105,50m,781.4,0,0,0,0,0,1.34897308349609,1.23315982818604,,5
12,119|37,50m,460.4,0,0,0,0,0,0.587898302078247,0.272794342041016,,5,,,11,119|37,50m,469,0,0,0,0,0,1.79630889892578,1.38553953170776,,5
13,119|103,50m,476.4,0,0,0,0,5,0.404163599014282,0.353100728988647,,0,,,13,119|103,50m,523.6,0,0,0,0,0,1.32573699951172,1.10135545730591,,5
33,117|41,16m,352.6,0,0,0,0,5,0.983506965637207,0.314828372001648,,0,,,30,117|41,16m,209,0,0,0,0,5,0.945077705383301,0.947878170013428,,0
0,117|120,16m,319.6,0,0,0,1,0,0.400638628005981,0.401332092285156,,4,,,0,117|120,16m,328.4,0,0,0,0,0,0.743567228317261,0.732895946502685,,5
31,117|112,16m,383.4,0,0,0,0,1,0.858929443359375,0.559178876876831,,4,,,29,117|112,16m,402.2,0,0,0,0,0,1.45591869354248,1.05125064849854,,5
7,11|3,16m,310.6,0,0,0,0,0,0.311141490936279,0.27661542892456,,5,,,6,11|3,16m,302.4,0,0,0,0,0,0.625344181060791,0.450700998306274,,5
6,11|10,16m,233,0,0,0,0,0,0.631390619277954,0.268697166442871,,5,,,4,11|10,16m,237.8,0,0,0,0,0,1.61825752258301,0.941845798492431,,5
20,10|9,32m,829.2,0,0,0,0,0,0.801373672485351,0.417447471618652,,5,,,22,10|9,32m,800.2,0,0,0,0,0,1.05454750061035,0.67578821182251,,5
4,10|64,32m,621,0,0,0,0,0,0.441217088699341,0.418404388427734,,5,,,7,10|64,32m,594,0,0,0,0,0,0.639797496795654,0.643004131317139,,5
