169760sd,,,,,,,,,,,,,,,,,98bf3ef,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,truck difference,trailer difference,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
48,55|76,50m,599.2,0,0,0,0,0,0.544988203048706,0.393236756324768,,5,,0.058617639541626,0.078249502182007,,48,55|76,50m,443,0,0,0,0,0,0.48637056350708,0.314987254142761,,5
49,31|43,16m,310.4,0,0,0,0,0,0.471360635757446,0.463495969772339,,5,,0.164550185203552,-0.005923366546631,,49,31|43,16m,232.6,0,0,0,0,0,0.306810450553894,0.46941933631897,,5
50,61|95,16m,313.8,0,0,0,0,0,0.730648231506348,0.375294733047485,,5,,0.254769134521485,0.177326571941375,,50,61|95,16m,282.2,0,0,0,0,0,0.475879096984863,0.19796816110611,,5
51,61|42,16m,268.8,0,0,0,2,0,0.521748638153076,0.47883734703064,,3,,0.130017232894897,0.036139869689942,,51,61|42,16m,266,0,0,0,0,0,0.391731405258179,0.442697477340698,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,avg,0.15,0.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,median ,0.130017232894897,0.086423254013061,,,,,,,,,,,,,,
,,,,,,,,,,,,,min,-0.111978530883789,-0.079542994499207,,,,,,,,,,,,,,
,,,,,,,,,,,,,max,0.60524640083313,0.375768911838531,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.070038223266602,0.04787437915802,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.130017232894897,0.086423254013061,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.221426939964294,0.138919985294342,,,,,,,,,,,,,,
