169760e TRAINING,,,,,,,,,,,,,,,,,,98bf3e6e Training,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,,,,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
11,97|95,16m,384.2,0,0,0,0,0,0.489048624038696,0.483103227615356,,5,,,0.131650352478027,0.142511296272277,,11,97|95,16m,307.2,0,0,0,0,0,0.357398271560669,0.340591931343079,,5
46,96|94,50m,1052.8,0,0,0,0,0,0.679237842559814,0.418325614929199,,5,,,0.079617881774902,0.086423254013061,,46,96|94,50m,765.8,0,0,0,0,0,0.599619960784912,0.331902360916138,,5
25,96|76,50m,727.6,0,0,0,0,0,0.651488351821899,0.39632682800293,,5,,,0.07402458190918,0.081457710266114,,26,96|76,50m,520.8,0,0,0,0,0,0.57746376991272,0.314869117736816,,5
23,96|26,50m,439.4,0,0,0,0,0,0.45171594619751,0.35987606048584,,5,,,0.059131455421448,0.082180523872376,,24,96|26,50m,323,0,0,0,0,0,0.392584490776062,0.277695536613464,,5
39,73|74,50m,123.4,0,0,0,0,5,0.6343186378479,0.318866205215454,,0,,,,,,39,73|74,50m,125.2,0,0,0,0,5,0.538218021392822,0.264845681190491,,0
40,73|37,50m,122.2,0,0,0,0,5,0.624245691299439,0.303656625747681,,0,,,,,,40,73|37,50m,131.4,0,0,0,0,5,0.570489406585693,0.27045750617981,,0
8,66|67,32m,769,0,0,0,0,0,0.696417856216431,0.527872848510742,,5,,,0.320814847946167,0.324832677841186,,7,66|67,32m,586.8,0,0,0,0,0,0.375603008270264,0.203040170669556,,5
10,66|46,32m,618,0,0,0,0,0,0.53598165512085,0.399145364761352,,5,,,0.218612813949585,0.103118276596069,,10,66|46,32m,484,0,0,0,0,0,0.317368841171265,0.296027088165283,,5
50,61|95,16m,313.8,0,0,0,0,0,0.730648231506348,0.375294733047485,,5,,,0.254769134521485,0.177326571941375,,50,61|95,16m,282.2,0,0,0,0,0,0.475879096984863,0.19796816110611,,5
51,61|42,16m,268.8,0,0,0,2,0,0.521748638153076,0.47883734703064,,3,,,0.130017232894897,0.036139869689942,,51,61|42,16m,266,0,0,0,0,0,0.391731405258179,0.442697477340698,,5
47,58|74,50m,609.4,0,0,0,0,0,0.46582145690918,0.519928741455078,,5,,,0.119179296493531,0.068443059921264,,47,58|74,50m,484.8,0,0,0,0,0,0.346642160415649,0.451485681533814,,5
26,58|111,50m,331,0,0,0,0,0,0.610989332199097,0.400386953353882,,5,,,0.265655207633973,0.241646099090576,,28,58|111,50m,265,0,0,0,0,0,0.345334124565124,0.158740854263306,,5
44,55|94,50m,930.6,0,0,0,0,0,0.625629901885986,0.430129957199097,,5,,,0.072552013397217,0.098096632957459,,44,55|94,50m,662.4,0,0,0,0,0,0.553077888488769,0.332033324241638,,5
48,55|76,50m,599.2,0,0,0,0,0,0.544988203048706,0.393236756324768,,5,,,0.058617639541626,0.078249502182007,,48,55|76,50m,443,0,0,0,0,0,0.48637056350708,0.314987254142761,,5
45,55|105,50m,976.2,0,0,0,0,0,0.833542442321777,0.48737359046936,,5,,,0.080620241165161,0.082609510421753,,45,55|105,50m,691.2,0,0,0,0,0,0.752922201156616,0.404764080047607,,5
1,5|67,32m,878.4,0,0,0,0,0,0.605796051025391,0.580410957336426,,5,,,0.254792046546936,0.23832950592041,,1,5|67,32m,626.6,0,0,0,0,0,0.351004004478455,0.342081451416016,,5
37,5|43,16m,372.4,0,0,0,0,0,0.834221267700195,0.499818134307861,,5,,,,,,37,5|43,16m,162,0,1,0,0,4,0.430876111984253,0.591496181488037,,0
9,5|41,16m,354.4,0,0,0,0,0,0.418390417098999,0.556198596954346,,5,,,0.066109108924866,0.035742425918579,,9,5|41,16m,220.6,0,0,0,0,2,0.352281308174133,0.520456171035767,,3
38,5|120,16m,502.8,0,0,0,1,0,0.946451950073242,0.44601469039917,,4,,,,,,38,5|120,16m,160.4,0,0,0,0,5,0.43372688293457,0.614942646026611,,0
2,40|42,16m,198.4,0,0,0,0,0,0.529066514968872,0.208633422851562,,5,,,0.058951139450073,-0.006066489219666,,2,40|42,16m,211.6,0,0,0,0,0,0.470115375518799,0.214699912071228,,5
3,40|10,16m,372.2,0,0,0,0,0,0.427607250213623,0.351171326637268,,5,,,0.060636329650879,0.029543614387512,,4,40|10,16m,310.6,0,0,0,0,0,0.366970920562744,0.321627712249756,,5
18,4|64,32m,715,0,0,0,0,0,0.652715253829956,0.377344679832458,,5,,,0.177568387985229,0.142375373840333,,17,4|64,32m,492.8,0,0,0,0,0,0.475146865844727,0.234969305992126,,5
24,35|9,32m,1319.2,0,0,0,0,0,0.398700952529907,0.278398442268372,,5,,,0.070698642730713,0.055744552612305,,22,35|9,32m,903.2,0,0,0,0,0,0.328002309799194,0.222653889656067,,5
28,35|48,32m,1438.8,0,0,0,2,0,0.378885626792908,0.281444120407104,,3,,,0.17292926311493,0.140357899665832,,25,35|48,32m,681.6,0,0,0,4,0,0.205956363677978,0.141086220741272,,1
36,34|43,16m,265.4,0,0,0,0,5,0.866535377502441,0.362120294570923,,0,,,,,,36,34|43,16m,145.6,0,0,0,0,5,0.47446436882019,0.424143505096436,,0
