route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
61|12,274,False,False,False,False,False,0.5835553432208666,0,True
19|6,732,False,False,False,False,False,0.2353789805595888,0,True
19|23,960,False,False,False,False,False,0.4581264377585885,0,True
19|60,1213,False,False,False,False,False,0.5714731289202458,0,True
34|23,321,False,False,False,False,False,0.30135111653122065,0,True
34|60,559,False,False,False,False,False,0.5872132782303198,0,True
34|6,797,False,False,False,False,False,0.7140703690800988,0,True
61|12,272,False,False,False,False,False,0.6000700327576516,0,True
19|6,732,False,False,False,False,False,0.2336694735213546,0,True
19|23,966,False,False,False,False,False,0.43884400986700567,0,True
19|60,1208,False,False,False,False,False,0.5812811129820189,0,True
34|23,326,False,False,False,False,False,0.3345165466337866,0,True
34|60,560,False,False,False,False,False,0.5845580352232348,0,True
34|6,786,False,False,False,False,False,0.6876909866544201,0,True
61|12,272,False,False,False,False,False,0.5852328999491536,0,True
19|6,738,False,False,False,False,False,0.238510743685768,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
34|23,321,False,False,False,False,False,0.3188208880877554,0,True
34|60,568,False,False,False,False,False,0.6043462387319284,0,True
34|6,794,False,False,False,False,False,0.7166374947754698,0,True
61|12,274,False,False,False,False,False,0.6128038487380222,0,True
19|6,730,False,False,False,False,False,0.24209911956210342,0,True
19|23,962,False,False,False,False,False,0.4613353990992987,0,True
19|60,1203,False,False,False,False,False,0.562586582367115,0,True
34|23,319,False,False,False,False,False,0.33598590960199104,0,True
34|60,569,False,False,False,False,False,0.5897839493838343,0,True
34|6,777,False,False,False,False,False,0.7094113514707857,0,True
61|12,278,False,False,False,False,False,0.628001769426047,0,True
19|6,731,False,False,False,False,False,0.23562948368434164,0,True
19|23,950,False,False,False,False,False,0.43918165187301034,0,True
19|60,1200,False,False,False,False,False,0.5535718189227443,0,True
34|23,320,False,False,False,False,False,0.31815460409261853,0,True
34|60,557,False,False,False,False,False,0.578198205998311,0,True
34|6,790,False,False,False,False,False,0.7000738939826053,0,True
61|12,270,False,False,False,False,False,0.5712696631617162,0,True
19|6,734,False,False,False,False,False,0.24162481455877718,0,True
19|23,962,False,False,False,False,False,0.45574870488204644,0,True
19|60,1197,False,False,False,False,False,0.5487166794006936,0,True
34|23,323,False,False,False,False,False,0.32434138195012546,0,True
34|60,555,False,False,False,False,False,0.5652706776791743,0,True
34|6,787,False,False,False,False,False,0.7215019043876355,0,True
61|12,275,False,False,False,False,False,0.6175295372679678,0,True
19|6,733,False,False,False,False,False,0.22214798659661275,0,True
19|23,959,False,False,False,False,False,0.44600195246756125,0,True
19|60,1199,False,False,False,False,False,0.5699279909045795,0,True
34|23,319,False,False,False,False,False,0.32485193177839555,0,True
34|60,559,False,False,False,False,False,0.5691278532850799,0,True
34|6,791,False,False,False,False,False,0.7217020994408464,0,True
61|12,276,False,False,False,False,False,0.5886468561953957,0,True
19|6,737,False,False,False,False,False,0.23250130478956635,0,True
19|23,960,False,False,False,False,False,0.45324275485490745,0,True
19|60,1200,False,False,False,False,False,0.5492659286307329,0,True
34|23,322,False,False,False,False,False,0.31596529226040665,0,True
34|60,556,False,False,False,False,False,0.5628686479797124,0,True
34|6,786,False,False,False,False,False,0.6918677152553189,0,True
61|12,274,False,False,False,False,False,0.5654881018680663,0,True
19|6,729,False,False,False,False,False,0.23303629974901668,0,True
19|23,961,False,False,False,False,False,0.45695534684503664,0,True
19|60,1206,False,False,False,False,False,0.5597281575752658,0,True
34|23,321,False,False,False,False,False,0.3232321405229911,0,True
34|60,550,False,False,False,False,False,0.5431666515555998,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11|19,173,False,False,False,False,True,0.5828404101708528,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
73|37,126,False,False,False,False,True,0.6135443693258424,0,False
73|74,123,False,False,False,False,True,0.7052859811994183,0,False
73|37,119,False,False,False,False,True,0.6203587144691941,0,False
73|74,120,False,False,False,False,True,0.6254521693696705,0,False
73|37,115,False,False,False,False,True,0.5983499353018641,0,False
73|74,117,False,False,False,False,True,0.6543076435875623,0,False
73|37,115,False,False,False,False,True,0.590293110855234,0,False
73|74,117,False,False,False,False,True,0.6249971856442614,0,False
73|37,115,False,False,False,False,True,0.6168890251514983,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
73|37,128,False,False,False,False,True,0.5995623153527838,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,241,False,False,False,True,False,0.4487846086651365,0,False
117|120,241,False,False,False,True,False,0.42572251859357985,0,False
117|120,342,False,False,False,False,False,0.3853770748996571,0,True
117|120,346,False,False,False,False,False,0.42263328989567456,0,True
117|120,65,False,False,False,True,False,0.20511715473388245,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,228,False,False,False,False,True,0.5956072438688416,0,False
17|29,221,False,False,False,False,True,0.6127031774685737,0,False
17|29,220,False,False,False,False,True,0.592982189753454,0,False
17|29,219,False,False,False,False,True,0.6155209487834741,0,False
17|29,223,False,False,False,False,True,0.6279149418104928,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,229,False,False,False,False,True,0.6084975106064064,0,False
17|29,228,False,False,False,False,True,0.6263491238298475,0,False
17|29,230,False,False,False,False,True,0.5946946942310171,0,False
17|29,229,False,False,False,False,True,0.61658665796797,0,False
17|29,229,False,False,False,False,True,0.5993147858533846,0,False
17|29,228,False,False,False,False,True,0.5698708564294951,0,False
17|29,230,False,False,False,False,True,0.5899158778551372,0,False
17|29,230,False,False,False,False,True,0.6376824134968849,0,False
17|29,232,False,False,False,False,True,0.6332300906652352,0,False
17|29,230,False,False,False,False,True,0.5850993333987732,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
31|112,553,False,False,False,False,False,1.116916894804923,0,True
31|112,550,False,False,False,False,False,1.059834026091254,0,True
31|112,550,False,False,False,False,False,1.1059953416805726,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
34|60,575,False,False,False,False,False,0.5977941953111396,0,True
34|60,574,False,False,False,False,False,0.5828247467119662,0,True
34|60,574,False,False,False,False,False,0.5657174119206873,0,True
34|60,575,False,False,False,False,False,0.5737869622564629,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,233,False,False,False,False,True,0.6271028591494837,0,False
17|29,232,False,False,False,False,True,0.6307907396495456,0,False
17|29,233,False,False,False,False,True,0.6746480975604873,0,False
17|29,234,False,False,False,False,True,0.6210266172954448,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,235,False,False,False,False,True,0.6153497794851138,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11|32,169,False,False,False,False,True,0.6709374496330512,0,False
11|32,173,False,False,False,False,True,0.6758192822172512,0,False
26|25,513,False,False,False,False,False,0.6630538418098231,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
66|67,764,False,False,False,False,False,0.6910158133353769,0,True
66|67,766,False,False,False,False,False,0.6992468462691253,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
1|30,503,False,False,False,False,False,0.34141796882159636,0,True
1|30,503,False,False,False,False,False,0.3442542456499724,0,True
